word,raw_frequency
eigth,1
elminate,1
elongated,1
"enough,",1
entierly,1
entirely,1
er,1
Erika,1
essence,1
evee,1
ever,1
evie,1
exaclty,1
exccept,1
experiment,1
explaining,1
explicit,1
extends,1
extremely,1
eye,1
fair,1
fall,1
fascinating,1
fater,1
favorite,1
features,1
feller,1
female,1
feminine,1
"fin,",1
finished,1
fit,1
Five,1
folded,1
foot.,1
football,1
footsie,1
form,1
format,1
forty,1
forwards,1
fowrad,1
friend,1
From,1
fron-,1
"front,",1
"fu,",1
fuckery,1
fuckin',1
fun,1
gem,1
genders,1
geographic,1
getting,1
Ghost,1
"ghost,",1
girl's,1
glad,1
goalie,1
goblet,1
God,1
gods,1
goes.,1
good?,1
goodness,1
Gospel,1
Gospel...,1
gound,1
gown,1
graduating,1
greater,1
ground.,1
grounded,1
group,1
gues,1
guess.,1
"guy,",1
haha,1
hald,1
handing,1
Handmaiden,1
hang,1
happy,1
harder,1
hasthe,1
hat...,1
hate,1
hatler,1
hatless,1
havea,1
he'd,1
head.,1
headless,1
heads.,1
heck,1
heeled,1
"height,",1
held,1
help,1
"help,",1
"helpful,",1
helpful?,1
helping,1
hen,1
hexagonalmost,1
higher,1
hiked,1
hip,1
hip-hop,1
hit,1
hitting,1
hm.,1
hmm,1
hmmhmm,1
holder,1
home,1
homeboy,1
homeless,1
hoof,1
hook,1
horse,1
horsey,1
hot,1
house-hat;,1
houses,1
however,1
hsape,1
hugging,1
humans,1
hunch,1
hurry,1
hypotenuse,1
"i,",1
I'll,1
I've,1
identify,1
iisn't,1
iits,1
ill,1
illinois,1
illustrator,1
imag-,1
images,1
imagining,1
ina,1
indents,1
initially,1
interesting,1
interpreting,1
interrupts,1
inwards,1
Is,1
"ish,",1
"it,",1
"it's,",1
itself;,1
itsmore,1
jalapeno,1
"jar,",1
jesus,1
job,1
jumping,1
jus,1
kayla,1
kick?,1
kickback,1
kickout,1
"kid,",1
kinda...it,1
king,1
Kneeling,1
"knees,",1
knot,1
know?,1
later,1
layout,1
leaves,1
Left,1
left?r,1
left',1
leftmost,1
lefts,1
leftward,1
"leg,",1
leg?,1
legless,1
"legs,",1
lesser,1
level,1
leveled,1
liam,1
Liam,1
liine,1
"Like,",1
like.,1
like..,1
likea,1
likes,1
"likes,",1
limb,1
limbless,1
lion,1
literal,1
littlest,1
longer,1
longest,1
loo,1
lookat,1
lookign,1
lookoiing,1
Looks,1
loose,1
low,1
lowercase,1
lttile,1
lump,1
lunching,1
mad,1
magicina,1
major,1
making,1
male,1
"man,",1
map?,1
mask,1
match,1
matilda,1
matter,1
maya,1
"maya,",1
"me,",1
mean?,1
meant,1
meditating,1
mentioning,1
messed,1
messing,1
mhmm,1
"middle,",1
midle,1
might've,1
mind.,1
minus,1
minute,1
mirrored,1
miscellaneous,1
mishapen,1
"missouri,",1
mixed,1
mkay,1
Mm.,1
mmhhmm,1
mmhmm,1
mmmmm,1
modified,1
"monk,",1
monk;,1
mos,1
motherfucker's,1
motion,1
mound,1
mountainy,1
mouse-like,1
moved,1
movement,1
name,1
names,1
near,1
neat,1
necessarily,1
needs,1
nerve,1
Never,1
nevermind,1
nicely,1
Nine,1
nines,1
ninty,1
nknees,1
no.,1
nonono,1
normal,1
not...,1
notice,1
notre,1
now?,1
nuber,1
nuer,1
nuke,1
num,1
"Number,",1
nunmber,1
object,1
obtrusion,1
obvious,1
octagon,1
odd,1
oen,1
Of,1
"oh,",1
"Oh,",1
ohhh,1
Ok,1
OK,1
"ok,",1
"oklahoma,",1
old,1
On,1
One,1
one...,1
oon,1
oor,1
"oout,",1
open,1
opening,1
opinion,1
opposed,1
Or,1
orders,1
oriented,1
others,1
Out,1
"out,",1
out?,1
outside,1
overlapping,1
paarellogram,1
pack,1
pad,1
pads,1
palm,1
pants,1
paralellogram,1
parchment,1
parts,1
party,1
peak,1
pen,1
per,1
per-,1
perceptible,1
perhaps,1
persont,1
perspecive,1
physically,1
pictures,1
platter,1
play,1
plunging,1
"point,",1
pointcould,1
pointied,1
pointitng,1
poirtion,1
poke,1
pokes,1
polo,1
"pose,",1
possible,1
potentially,1
pouch,1
prancing,1
"prancing,",1
pray,1
prayboy,1
preacher,1
pregnancy,1
pregnant,1
prengant,1
presenting,1
prevent,1
prism,1
progress,1
pterodactyl,1
puffy,1
putting,1
quare,1
quartered,1
"rabbit,",1
rabbits,1
racking,1
rad,1
raise,1
random,1
range,1
rather,1
raticate,1
re-explain,1
"reading,",1
Really,1
receiver,1
rectangularish,1
red,1
redemer,1
rejects,1
religious,1
religious.,1
repeat,1
resembles,1
reverse,1
reword,1
"rhombus,",1
rhombus?,1
ride,1
righ-no,1
Right,1
rightmost,1
rights,1
riight,1
rivly,1
rocket,1
rocketship,1
rocky,1
rotated,1
rotation,1
rounded,1
run,1
runner,1
running-,1
running?,1
ryan's,1
sailor,1
sake,1
samurai,1
sat,1
sauce,1
save,1
saw,1
"say,",1
scalloped,1
scoll,1
screaming,1
sea,1
"see,",1
seesomebody,1
seimoicolon,1
sense?,1
sensei,1
separate,1
seperated,1
sequence,1
set,1
Seven,1
seven.,1
several,1
"sh*t,",1
shane,1
shapeless,1
"shapes,",1
"sharp,",1
shat,1
shelf,1
shifted,1
shilloute,1
showing,1
shows,1
Side,1
sides?,1
sides.,1
sillouhette,1
similarly,1
similiar,1
simmilar,1
simpler,1
since,1
single,1
sit,1
"sitraight,",1
sits,1
"sitting,",1
six.,1
size,1
skiing,1
skinnier,1
sky,1
sky.,1
sleeping,1
sleeves,1
slides,1
"slightly,",1
slike,1
sloping,1
slouch,1
slouching.,1
slpit,1
slumping,1
"small,",1
smooth,1
"so,",1
"So,",1
soluting,1
solve,1
somebody's,1
someone.,1
something.,1
somewhat,1
somoene,1
somone,1
"sorry,",1
sorts,1
sound,1
space,1
spellbook,1
spot,1
square's,1
squarely,1
squares?,1
squashed,1
squated,1
squint,1
stadning,1
standiing,1
stands,1
stargazer,1
staring,1
started?,1
starts,1
states,1
step,1
stepped,1
stomping,1
strange,1
striaght,1
struggling,1
stuck,1
stupid,1
such,1
suggestion,1
suppose,1
"sure,",1
surface,1
sware,1
sweetpea,1
swim,1
swishy,1
switch,1
swooshing,1
tad,1
take,1
taken,1
talked,1
talkgin,1
taller,1
tango,1
teapot,1
telve,1
Ten,1
Tenuous,1
tenuously,1
terrible,1
th,1
"than,",1
thast,1
that...,1
that'll,1
That's,1
"that'ts,",1
the...,1
theatre,1
thediamond,1
theis,1
theiyre,1
thelike,1
them?,1
theme,1
themselves,1
"Then,",1
then...,1
theose,1
ther,1
these.,1
theyve,1
